url	name	caption	desc
https://feathericons.com/	Feather	SVG icons	Simply beautiful open source icons
https://picjumbo.com/	picjumbo	Free Stock Photos	Beautiful free stock photos for websites and blogs. Download perfect free photos in high resolution. 100% free, no watermark & free for commercial use!
https://newstopics.jp/	ニュートピ！	Twitterで話題のニュースをお届け！	「ニュートピ！ (にゅーとぴ)」はTwitterで話題のニュースやトレンドを、まとめてお届けするTwitter情報サイトです。おもしろネタから世の中の事などTwitterで人気の情報をお届けします。
https://booklog.jp/	ブクログ	web本棚サービス	ブクログは、本の感想や評価をチェックしたり、webやアプリで本棚をかんたんに作成し、感想やレビューを書いたり、読書の管理・記録をすることができます。
https://pixlr.com/	Pixlr.com	Photo editor online	Discover free and premium online photo editor! Effects, filters, overlays, simple to expert tools. You'll find a Pixlr image editor just for you!
https://scrapbox.io/	Scrapbox	チームのための新しい共有ノート	あらゆる情報をつなげて整理できる次世代の知識共有サービス
http://www.zondicons.com/	Zondicons	SVG icons	A set of free premium SVG icons for you to use on your digital products.
https://userstyles.org/	Stylish | Userstyles.org	Userstyle CSS	Style your favorite websites with themes & skins created by the Stylish community. Hundreds of thousands of backgrounds, color schemes and more at Userstyles.org
https://evernote.com/intl/jp/	Evernote	最高のメモアプリ - Evernote で大切なノートを整理	Evernote ではアイデア、プロジェクト、ToDo などを記録したり、忘れないように優先順位を付けたりすることが可能です。無料トライアルを是非お試しください！
http://www.tablesgenerator.com/	Markdown Tables generator	Markdown Tables generator	Easily create tables in extended Markdown format supported by Markdown Here and GFM.
https://www.netlify.com/	Netlify: 	Deploy your site in seconds	All-in-one platform for automating modern web projects.
https://www.photopea.com/	Photopea	Online Image Editor	Getting a new business off the ground is a lot of hard work.
https://cloudcraft.co/	Cloudcraft	Draw AWS diagrams	Visualize your AWS environment as isometric architecture diagrams. Snap together blocks for EC2s, ELBs, RDS and more. Connect your live AWS environment.
https://www.inoreader.com/	Inoreader	RSS	One place to keep up with all your information sources. Rely on powerful free search, full archive of your subscriptions. Monitor specific keywords, save pages from the web and subscribe to social media feeds.
https://ionicons.com/	Ionicons	The premium icon pack for Ionic Framework	Premium designed icons for use in web, iOS, Android, and desktop apps. Support for SVG and web font. Completely open source, MIT licensed and built by the Ionic Framework team.
https://www.google.co.jp/maps/	Google マップ	地図	Google マップで地図を検索。乗換案内、路線図、ドライブルート、ストリートビューも。見やすい地図でお店やサービス、地域の情報を検索できます。世界地図も日本語で、旅のプランにも便利。
https://www.cacher.io/	Cacher	Code snippet organizer for pros	Cacher is long term memory for software professionals. Use it to curate a library of useful code snippets for you and your team.
https://www.webfx.com/tools/emoji-cheat-sheet/	Emoji cheat sheet	emoji	Emoji codes used by GitHub, Basecamp, Slack and other services. Searchable. With emoji meanings.
https://github.com/	GitHub	Git	GitHub is where people build software. More than 36 million people use GitHub to discover, fork, and contribute to over 100 million projects.
https://remotedesktop.google.com/	Chrome リモート デスクトップ	リモート デスクトップ	無料のツールを使って、スマートフォン、タブレット、他のパソコンから、お使いのパソコンにすばやく簡単、安全にアクセスできます。
https://material.io/tools/icons/?style=baseline	Icons - Material Design	icon	Material icons are delightful, beautifully crafted symbols for common actions and items. Download on desktop to use them in your digital products for Android, iOS, and web.
